UniqueID,Log Probability,RFProbability,SVMProbability,GBM,(RF+Log) / 2
6533,7.25E-09,0.026543513,,0.361660339,0.01327176
6534,0.080167277,0.116708435,,0.249165287,0.098437856
6535,0.876854467,0.816023705,,0.777881652,0.846439086
6536,0.109443639,0.20683421,,0.788941408,0.158138925
6537,0.461051302,0.402281945,,0.23587283,0.431666623
6538,0.736579568,0.783751175,,0.369853552,0.760165371
6539,0.928739842,0.77101605,,0.778268266,0.849877946
6540,0.019294819,0.030269206,,0.773425515,0.024782012
6541,0.010863373,0.086372262,,0.772970679,0.048617818
6542,0.042366364,0.026661458,,0.797149967,0.034513911
6543,0.039358443,0.025429913,,0.790792669,0.032394178
6544,0.944130058,0.777374086,,0.767995402,0.860752072
6545,0.043852083,0.030949228,,0.96938201,0.037400656
6546,0.008939756,0.016277829,,0.902389212,0.012608792
6547,0.003915127,0.017060618,,0.258605165,0.010487872
6548,0.827407163,0.781855262,,0.797149967,0.804631212
6549,0.779348547,0.783753696,,0.258605165,0.781551122
6550,0.138141178,0.261950061,,0.258605165,0.20004562
6551,0.465113072,0.417414538,,0.655064437,0.441263805
6552,0.032614906,0.018610768,,0.790117245,0.025612837
6553,0.160526881,0.132591972,,0.759234617,0.146559426
6554,0.060802443,0.057562878,,0.785413499,0.059182661
6555,0.710114954,0.776542719,,0.969134245,0.743328836
6556,0.040384228,0.027558074,,0.971098734,0.033971151
6557,0.005822149,0.018964535,,0.788250751,0.012393342
6558,0.538087016,0.488953802,,0.575073362,0.513520409
6559,0.051152239,0.026070924,,0.969857969,0.038611582
6560,0.712200676,0.735706135,,0.804917454,0.723953406
6561,0.377099827,0.374362793,,0.254069289,0.37573131
6562,0.043037438,0.030949228,,0.080080751,0.036993333
6563,0.036269335,0.02505703,,0.968234424,0.030663182
6564,0.051184244,0.028247289,,0.253693779,0.039715767
6565,0.005195599,0.017603654,,0.682888606,0.011399626
6566,0.113428972,0.099154878,,0.158929836,0.106291925
6567,0.127969667,0.248988038,,0.7844203,0.188478852
6568,0.787719723,0.777087255,,0.266424845,0.782403489
6569,0.662790683,0.705708418,,0.082551237,0.684249551
6570,0.049133345,0.031328405,,0.772934134,0.040230875
6571,0.03269726,0.066224097,,0.236625418,0.049460678
6572,0.775918294,0.613513604,,0.730286268,0.694715949
6573,0.697935072,0.734644003,,0.267475165,0.716289537
6574,0.772532568,0.783732984,,0.895199908,0.778132776
6575,0.05150252,0.035178892,,0.971562348,0.043340706
6576,0.604923305,0.511179622,,0.877749321,0.558051464
6577,0.003310804,0.016607536,,0.639882211,0.00995917
6578,0.040422007,0.025621282,,0.768791444,0.033021645
6579,1.15E-08,0.046457473,,0.779940961,0.023228742
6580,0.042568923,0.030950438,,0.220750159,0.036759681
6581,0.701025652,0.733333191,,0.151384195,0.717179421
6582,0.006543229,0.040968245,,0.181319674,0.023755737
6583,0.007565743,0.015326849,,0.86911983,0.011446296
